País,Kendall Jenner: (1/1/07 - 21/3/19)
Congo,
Gabón,
Guinea Ecuatorial,
Brunéi,
Aruba,
Filipinas,100
Trinidad y Tobago,
Guam,
Seychelles,
Islas Feroe,
Islas Turcas y Caicos,
Belice,
Santa Lucía,
Curazao,
Fiyi,
Namibia,
Australia,72
Nueva Zelanda,72
Camerún,
Sint Maarten,
Kosovo,
Bahamas,
Honduras,
Bermudas,
Bután,
Nicaragua,
Albania,
Sudáfrica,67
Papúa Nueva Guinea,
Islas Caimán,
Jamaica,
Botsuana,
Estados Unidos,63
Irlanda,63
Surinam,
Timor-Leste,
Maldivas,
Esuatini,
Madagascar,
Macedonia del Norte,
República Democrática del Congo,
Canadá,60
Islandia,
Benín,
Mongolia,
Costa Rica,60
Jersey,
Côte d’Ivoire,
Islas Marianas del Norte,
San Bartolomé,
Guyana,
Dominica,
Líbano,57
Reino Unido,57
Caribe neerlandés,
San Cristóbal y Nieves,
Mauricio,
Isla de Man,
Antigua y Barbuda,
Barbados,
Panamá,52
Puerto Rico,52
Burundi,
Noruega,52
Uganda,
Senegal,
Togo,
Georgia,
El Salvador,
Zambia,
Singapur,48
Mayotte,
Granada,
Chipre,
Malta,
Guernesey,
Croacia,45
Montenegro,
Paraguay,
Gibraltar,
San Vicente y las Granadinas,
Martinica,
Mali,
Nepal,
Islas Vírgenes de EE. UU.,
Guadalupe,
México,41
Venezuela,41
Armenia,
Níger,
Colombia,39
San Martín,
Emiratos Árabes Unidos,39
Guatemala,39
Ecuador,38
Cuba,
Reunión,
Chile,36
Malaui,
Kenia,36
Catar,
Zimbabue,
Guinea,
Malasia,36
Guayana Francesa,
Haití,
Groenlandia,
Dinamarca,35
Nigeria,35
Eslovenia,35
Baréin,
Indonesia,33
República Dominicana,33
Mónaco,
Suecia,32
Myanmar (Birmania),
Polinesia Francesa,
Ruanda,
Bosnia y Herzegovina,
Ghana,
Angola,
Perú,32
Kuwait,
Portugal,30
Francia,30
Serbia,29
Burkina Faso,
Grecia,29
Bolivia,29
Anguila,
Nueva Caledonia,
Azerbaiyán,
Luxemburgo,
Suiza,27
Kirguistán,
Uruguay,
Turkmenistán,
Lesoto,
Kazajistán,26
Bélgica,26
Túnez,
Países Bajos,25
Afganistán,
Sri Lanka,
Estonia,
Mozambique,
Israel,23
Santa Elena,
España,22
Cabo Verde,
Argentina,22
Argelia,20
Camboya,
Polonia,20
Uzbekistán,
Austria,20
Jordania,
Turquía,20
Finlandia,20
Arabia Saudí,20
Mauritania,
Hong Kong,20
Pakistán,19
Libia,
Yibuti,
Etiopía,
Andorra,
Omán,
Marruecos,17
Letonia,
Sierra Leona,
Irán,16
Italia,16
Rumanía,16
Eslovaquia,16
Alemania,16
Bangladés,
Siria,
Brasil,14
Irak,
Macao,
Liberia,
Hungría,14
Moldavia,
Bulgaria,14
Lituania,
Tanzania,
Somalia,
Laos,
India,13
Chequia,11
Corea del Sur,11
Tayikistán,
Rusia,10
Tailandia,10
Egipto,8
Bielorrusia,
Ucrania,8
Palestina,
Sudán,
Taiwán,5
Vietnam,5
Yemen,
Japón,2
China,
Kiribati,
Samoa,
Tonga,
Vanuatu,
Islas Salomón,
Islas Vírgenes Británicas,
Santo Tomé y Príncipe,
San Pedro y Miquelón,
Samoa Americana,
Comoras,
Islas Cook,
Micronesia,
República Centroafricana,
Chad,
Liechtenstein,
Gambia,
Islas Aland,
Sáhara Occidental,
San Marino,
Sudán del Sur,
Antártida,
Territorios Australes Franceses,
Isla Bouvet,
Islas Cocos,
Isla de Navidad,
Eritrea,
Islas Malvinas (Islas Falkland),
Guinea-Bisáu,
Islas Heard y McDonald,
Territorio Británico del Océano Índico,
Islas Marshall,
Montserrat,
Isla Norfolk,
Niue,
Nauru,
Islas Pitcairn,
Palaos,
Corea del Norte,
Islas Georgia del Sur y Sandwich del Sur,
Svalbard y Jan Mayen,
Tokelau,
Tuvalu,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
Wallis y Futuna,
