País,Kim Kardashian: (1/1/07 - 21/3/19)
Gabón,
Congo,
Namibia,
Trinidad y Tobago,100
Armenia,97
Botsuana,
Guinea Ecuatorial,
Camerún,
República Democrática del Congo,
Aruba,
Curazao,
Bahamas,
Esuatini,
Jamaica,
Territorio Británico del Océano Índico,
Palaos,
Zambia,
Islas Turcas y Caicos,
Sudáfrica,65
Belice,
Guam,
Anguila,
Zimbabue,
Côte d’Ivoire,
Santa Lucía,
Bermudas,
Islas Caimán,
Sint Maarten,
Seychelles,
San Cristóbal y Nieves,
Benín,
Antigua y Barbuda,
Uganda,
Senegal,
Islas Marshall,
Tonga,
Fiyi,
Kosovo,
Barbados,
Kenia,52
Surinam,
Macedonia del Norte,
Albania,
Togo,
Islas Vírgenes de EE. UU.,
Nicaragua,
Islas Vírgenes Británicas,
Estados Unidos,48
Samoa,
Dominica,
Caribe neerlandés,
Mali,
Guyana,
Nueva Zelanda,46
Granada,
Irlanda,46
Níger,
Puerto Rico,45
San Vicente y las Granadinas,
Líbano,45
Honduras,
Islas Feroe,
Maldivas,
Angola,
Panamá,44
Canadá,44
Burkina Faso,
Malta,
Australia,41
Lesoto,
Islandia,
Ruanda,
Islas Marianas del Norte,
El Salvador,41
Nigeria,41
Burundi,
Islas Cook,
Malaui,
Costa Rica,40
Samoa Americana,
Micronesia,
San Bartolomé,
Papúa Nueva Guinea,
Brunéi,
Ghana,
República Centroafricana,
Reino Unido,37
Noruega,37
Guadalupe,
Martinica,
San Martín,
Tanzania,
Islas Salomón,
Haití,
Bosnia y Herzegovina,34
Guayana Francesa,
Groenlandia,
Vanuatu,
Baréin,
Jersey,
Croacia,32
Isla de Man,
Kuwait,32
Gambia,
Mayotte,
Montenegro,
Guatemala,30
Emiratos Árabes Unidos,30
México,30
Chipre,
Gibraltar,
Reunión,
Catar,
Serbia,30
Bután,
Mauricio,
República Dominicana,29
Yibuti,
Turkmenistán,
Jordania,28
Guinea,
Madagascar,
Guernesey,
Eslovenia,26
Cuba,
Santa Elena,
Mongolia,
Suecia,25
Mónaco,
Azerbaiyán,
Venezuela,25
Chad,
Argelia,24
Mauritania,
Mozambique,
Guinea-Bisáu,
Colombia,24
Dinamarca,24
Sierra Leona,
Egipto,24
Irak,24
Ecuador,22
Siria,
Libia,
Marruecos,22
Túnez,22
Francia,22
Países Bajos,22
Bolivia,22
Afganistán,
Portugal,21
Arabia Saudí,21
Singapur,21
San Pedro y Miquelón,
Sudán,
Bélgica,21
Israel,21
Georgia,
Filipinas,20
Kirguistán,
Nepal,
Omán,
Suiza,20
Sri Lanka,
Turquía,20
Grecia,18
Etiopía,
Paraguay,
Irán,18
Comoras,
Islas Aland,
Liberia,
Chile,18
Kazajistán,18
Cabo Verde,
Estonia,
Nueva Caledonia,
Timor-Leste,
Luxemburgo,
Polonia,16
Malasia,16
Uzbekistán,
Perú,16
Bangladés,16
Polinesia Francesa,
Finlandia,16
Letonia,
Somalia,
Uruguay,
Myanmar (Birmania),
Austria,14
España,13
Palestina,
Tayikistán,
Rumanía,13
Pakistán,13
Sáhara Occidental,
Lituania,
Alemania,12
Indonesia,12
Andorra,
Sudán del Sur,
Hungría,12
India,12
Argentina,10
Rusia,10
Liechtenstein,
Eslovaquia,
Moldavia,
San Marino,
Bulgaria,10
Brasil,10
Camboya,
Ucrania,9
Bielorrusia,
Italia,9
Yemen,
Chequia,8
Hong Kong,
Corea del Sur,6
Macao,
Laos,
Vietnam,4
Tailandia,4
Taiwán,
China,
Japón,1
Wallis y Futuna,
Corea del Norte,
Tuvalu,
Montserrat,
Islas Malvinas (Islas Falkland),
Eritrea,
Kiribati,
Santo Tomé y Príncipe,
Svalbard y Jan Mayen,
Antártida,
Territorios Australes Franceses,
Isla Bouvet,
Islas Cocos,
Isla de Navidad,
Islas Heard y McDonald,
Isla Norfolk,
Niue,
Nauru,
Islas Pitcairn,
Islas Georgia del Sur y Sandwich del Sur,
Tokelau,
Islas menores alejadas de EE. UU.,
Ciudad del Vaticano,
